Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Bank_1,Bank_2,Bank_3,Bank_4,Bank_5,Bank_6,Bank_7,Bank_8,Bank_9,Bank_10,Bank_11,Bank_12,Bank_13,Bank_14,Bank_15,Bank_16,Bank_17,Bank_18,Bank_19,Bank_20,Bank_21,Bank_22,Bank_23,Bank_24,Comment,User CTCSS,S-Meter Squelch,Bell,AMS, ,RX DGID,TX DGID
28,431.45,433.05,1.60 MHz,Plus,FM,Campo Fiori U,Tone,71.9 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,28,0,0
29,431.25,432.85,1.60 MHz,Plus,FM,Penice,,100.0 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,On,29,0,0
30,145.6625,145.0625,600 kHz,Minus,FM,ROCCAV,Tone,127.3 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,30,0,0
31,145.675,145.075,600 kHz,Minus,FM,Beigua,Tone,110.9 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,31,0,0
32,145.6625,145.0625,600 kHz,Minus,FM,Luino,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,32,0,0
33,430.65,435.65,5.00 MHz,Plus,DN,La Morra,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,33,0,0
34,430.75,435.75,5.00 MHz,Plus,DN,EVE,,100.0 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,34,0,0
35,145.7625,145.1625,600 kHz,Minus,FM,Vicoforte,Tone,127.3 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,35,0,0
36,430.075,431.675,1.60 MHz,Plus,FM,Mondovi,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,36,0,0
37,430.4,435.4,5.00 MHz,Plus,FM,Ormea,Tone,110.9 Hz,23,RN-TN,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,1600 Hz,Off,Off,On,37,0,0
